"UNITID","LOCALE","LONGITUD","LATITUDE","EFFYALEV","EFFYLEV","LSTUDY","EFYTOTLT","EFYTOTLM","EFYTOTLW","EFYAIANT","EFYAIANM","EFYAIANW","EFYASIAT","EFYASIAM","EFYASIAW","EFYBKAAT","EFYBKAAM","EFYBKAAW","EFYHISPT","EFYHISPM","EFYHISPW","EFYNHPIT","EFYNHPIM","EFYNHPIW","EFYWHITT","EFYWHITM","EFYWHITW","EFY2MORT","EFY2MORM","EFY2MORW","EFYUNKNT","EFYUNKNM","EFYUNKNW","EFYNRALT","EFYNRALM","EFYNRALW","EFYGUUN","EFYGUAN","EFYGUTOT","EFYGUKN","EFFYDLEV","EFYDETOT","EFYDEEXC","EFYDESOM","EFYDENON","TUITION1","FEE1","HRCHG1","TUITION2","FEE2","HRCHG2","TUITION3","FEE3","HRCHG3","TUITION5","FEE5","HRCHG5","TUITION6","FEE6","HRCHG6","TUITION7","FEE7","HRCHG7","ISPROF1","ISPFEE1","OSPROF1","OSPFEE1","ISPROF2","ISPFEE2","OSPROF2","OSPFEE2","ISPROF3","ISPFEE3","OSPROF3","OSPFEE3","ISPROF4","ISPFEE4","OSPROF4","OSPFEE4","ISPROF5","ISPFEE5","OSPROF5","OSPFEE5","ISPROF6","ISPFEE6","OSPROF6","OSPFEE6","ISPROF7","ISPFEE7","OSPROF7","OSPFEE7","ISPROF8","ISPFEE8","OSPROF8","OSPFEE8","ISPROF9","ISPFEE9","OSPROF9","OSPFEE9","CHG1AT0","CHG1AF0","CHG1AY0","CHG1AT1","CHG1AF1","CHG1AY1","CHG1AT2","CHG1AF2","CHG1AY2","CHG1AT3","CHG1AF3","CHG1AY3","CHG1TGTD","CHG1FGTD","CHG2AT0","CHG2AF0","CHG2AY0","CHG2AT1","CHG2AF1","CHG2AY1","CHG2AT2","CHG2AF2","CHG2AY2","CHG2AT3","CHG2AF3","CHG2AY3","CHG2TGTD","CHG2FGTD","CHG3AT0","CHG3AF0","CHG3AY0","CHG3AT1","CHG3AF1","CHG3AY1","CHG3AT2","CHG3AF2","CHG3AY2","CHG3AT3","CHG3AF3","CHG3AY3","CHG3TGTD","CHG3FGTD","CHG4AY0","CHG4AY1","CHG4AY2","CHG4AY3","CHG5AY0","CHG5AY1","CHG5AY2","CHG5AY3","CHG6AY0","CHG6AY1","CHG6AY2","CHG6AY3","CHG7AY0","CHG7AY1","CHG7AY2","CHG7AY3","CHG8AY0","CHG8AY1","CHG8AY2","CHG8AY3","CHG9AY0","CHG9AY1","CHG9AY2","CHG9AY3"
100654,12,-86.568502,34.783368,2,2,1,5663,2337,3326,17,7,10,11,4,7,5047,2069,2978,63,32,31,6,2,4,120,65,55,68,24,44,278,105,173,53,29,24,8,0,8,5655,29,19025,1079,13658,4288,"8610","1414","287","8610","1414","287","17220","1414","574","10128","1414","422","10128","1414","422","20160","1414","840",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8610","1414","10024","8610","1414","10024","8610","1414","10024","8610","1414","10024",".",".","8610","1414","10024","8610","1414","10024","8610","1414","10024","8610","1414","10024",".",".","17220","1414","18634","17220","1414","18634","17220","1414","18634","17220","1414","18634",".",".","1600","1600","1600","1600","9240","9240","9520","9520","3090","3090","3090","3090","9240","9240","9520","9520","3090","3090","3090","3090","3090","3440","3440","3440"
100663,12,-86.799345,33.505697,2,2,1,15360,5819,9541,30,11,19,1093,467,626,3875,1195,2680,1027,394,633,6,3,3,8084,3232,4852,734,253,481,96,42,54,415,222,193,0,0,0,15360,29,67286,18911,35474,12901,"8832","0","368","8832","0","368","21216","0","884","8424","0","468","8424","0","468","19962","0","1109",".",".",".",".","30972","0","72196","0","31198","3464","62714","3464","28971","0","54012","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8568","0","8568","8568","0","8568","8568","0","8568","8832","0","8832",".",".","8568","0","8568","8568","0","8568","8568","0","8568","8832","0","8832",".",".","20400","0","20400","20400","0","20400","20400","0","20400","21216","0","21216",".",".","1200","1200","1200","1200","12307","12307","12307","13120","5555","5555","5555","5757","12307","12307","12307","14330","5555","5555","5555","6007","5555","5555","5555","6007"
100690,12,-86.17401,32.362609,2,2,1,351,115,236,1,0,1,2,0,2,238,56,182,12,8,4,1,0,1,93,50,43,0,0,0,4,1,3,0,0,0,0,0,0,351,18,2183,2183,0,0,"9000","950","430","9000","950","430","9000","950","430","10800","1350","750","10800","1350","750","10800","1350","750",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
100706,12,-86.640449,34.724557,2,2,1,8536,4982,3554,69,40,29,324,185,139,799,333,466,521,313,208,10,5,5,6006,3632,2374,370,200,170,250,145,105,187,129,58,0,0,0,8536,29,30820,4251,20613,5956,"10120","1758","421","10120","1758","421","23012","1758","958","10632","1054","708","10632","1054","708","24430","1054","1628",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9730","1392","11122","9730","1608","11338","9730","1758","11488","10120","1758","11878",".",".","9730","1392","11122","9730","1608","11338","9730","1758","11488","10120","1758","11878",".",".","22126","1392","23518","22126","1608","23734","22126","1758","23884","23012","1758","24770",".",".","2120","2200","2300","2416","10400","10652","10764","11122","3994","4076","4156","4462","10400","10652","10764","11122","3994","4076","4156","4462","3994","4076","4156","4462"
100724,12,-86.295677,32.364317,2,2,1,3899,1422,2477,6,1,5,8,2,6,3615,1296,2319,46,24,22,5,4,1,67,29,38,48,13,35,44,16,28,60,37,23,0,0,0,3899,29,12749,1401,9829,1519,"8328","2740","347","8328","2740","347","16656","2740","694","7416","2740","412","7416","2740","412","14832","2740","824",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8328","2740","11068","8328","2740","11068","8328","2740","11068","8328","2740","11068",".",".","8328","2740","11068","8328","2740","11068","8328","2740","11068","8328","2740","11068",".",".","16656","2740","19396","16656","2740","19396","16656","2740","19396","16656","2740","19396",".",".","1600","1600","1600","1600","6050","6050","6050","6050","3392","3392","3392","3392","7320","7320","7320","7320","4228","4228","5130","5130","4228","4228","5130","5130"
100751,13,-87.545978,33.211875,2,2,1,34616,15069,19547,132,50,82,494,235,259,3955,1435,2520,1888,737,1151,32,18,14,26075,11560,14515,1231,475,756,248,130,118,561,429,132,0,0,0,34616,29,119270,21279,48947,49044,"11100","840","545","11100","840","545","31460","840","1385","11100","690","635","11100","690","635","31460","690","1610",".",".",".",".",".",".",".",".","31198","0","62714","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","24080","300","44470","300","10780","0","10780","10780","840","11620","10780","840","11620","11100","840","11940",".",".","10780","0","10780","10780","840","11620","10780","840","11620","11100","840","11940",".",".","30250","0","30250","30250","840","31090","30250","840","31090","31460","840","32300",".",".","1000","1000","800","800","13636","13810","13934","14426","4600","4620","4670","4858","13636","13810","13934","14426","4600","4620","4670","4858","5860","5692","5742","6028"
100760,32,-85.945266,32.92478,2,2,1,2218,878,1340,4,3,1,11,7,4,414,117,297,56,23,33,2,1,1,1619,682,937,71,22,49,32,20,12,9,3,6,0,0,0,2218,17,6654,2091,2862,1701,"3750","1230","125","3750","1230","125","7500","1230","250",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3930","940","4870","3990","940","4930","3690","1240","4930","3750","1240","4990",".",".","3930","940","4870","3990","940","4930","3690","1240","4930","3750","1240","4990",".",".","7860","940","8800","7920","940","8860","7380","1240","8620","7500","1240","8740",".",".","1200","1000","1000","1250",".",".",".",".",".",".",".",".","5400","10238","10238","14364","2450","4360","4360","6524","2450","4360","4360","6524"
100812,31,-86.964698,34.806793,2,2,1,3466,1075,2391,46,11,35,20,10,10,458,123,335,147,39,108,2,1,1,2601,807,1794,108,39,69,82,44,38,2,1,1,0,0,0,3466,29,11154,6522,3915,717,"7230","2310","241","7230","2310","241","14460","2310","482","8352","1848","348","8352","1848","348","14472","1848","603",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
100830,12,-86.177544,32.36736,2,2,1,4796,1566,3230,20,8,12,140,62,78,2141,518,1623,69,17,52,4,2,2,2000,758,1242,175,64,111,40,16,24,207,121,86,0,0,0,4796,29,17414,3172,9998,4244,"8232","868","343","8232","868","343","18480","868","770","7812","766","434","7812","766","434","17550","766","975",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7752","868","8620","7992","868","8860","7992","868","8860","8232","868","9100",".",".","7752","868","8620","7992","868","8860","7992","868","8860","8232","868","9100",".",".","17424","868","18292","17952","868","18820","17952","868","18820","18480","868","19348",".",".","1200","1200","1200","1200","6980","6980","7368","7368","3850","3830","3830","4030","10296","10296","10296","10485","3850","3830","3830","4030","3850","3830","3830","4030"
100858,13,-85.488258,32.599378,2,2,1,26978,13694,13284,72,36,36,662,343,319,1318,637,681,1039,515,524,14,9,5,21818,10819,10999,740,370,370,83,51,32,1232,914,318,0,0,0,26978,29,96114,8209,36729,51176,"10392","1784","433","10392","1784","433","31176","1784","1299","10386","1784","577","10386","1784","577","31158","1784","1731",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10386","12350","31158","12350",".",".",".",".","10386","16868","31158","18868",".",".",".",".","9816","1676","11492","10080","1716","11796","10080","1746","11826","10392","1784","12176",".",".","9816","1676","11492","10080","1716","11796","10080","1746","11826","10392","1784","12176",".",".","29448","1676","31124","30240","1716","31956","30240","1746","31986","31176","1784","32960",".",".","1200","1200","1200","1200","13600","13778","14596","14998","5904","5904","6028","6028","13600","13778","14596","14998","5904","5904","6028","6028","5904","5904","6028","6028"
