Source,Content,Link
VFA Summary Report: Leading Indicators of Success and Student Outcomes for Community Colleges,Summary of data collection under the Voluntary Framework for Accountability,[American Association of Community Colleges](https://www.aacc.nche.edu/2019/03/29/vfa-summary-report-leading-indictors-of-success-and-student-outcomes-for-community-colleges/)
The Transfer Playbook: Essential Practices for Two- and Four-Year Colleges,Practical steps for universities and community colleges to improve support for transfer students,[Community College Research Center](https://ccrc.tc.columbia.edu/publications/transfer-playbook-essential-practices.html)
Redesigning America's Community Colleges: A Clearer Path to Student Success,Recommendations for reforming the community college system,[Community College Research Center](https://ccrc.tc.columbia.edu/publications/redesigning-americas-community-colleges.html)
Predictive Analytics in Higher Education,Article on risk modeling to predict student outcomes,[Article (PDF)](https://www.airweb.org/docs/default-source/documents-for-pages/reports-and-publications/professional-file/apf-161-predictive-analytics-in-higher-education.pdf)
"Multiple Measures Placement Using Data Analytics: An Implementation and Early Impacts Report. Center for the Analysis of Postsecondary Readiness, Community College Research Center",Assessment of placement system on student outcomes,[Community College Research Center](https://ccrc.tc.columbia.edu/publications/multiple-measures-placement-using-data-analytics.html)
Evidence-Based Decision Making in Community Colleges: Findings from a Survey of Faculty and Administrator Data Use at Achieving the Dream Colleges,Survey of administrators at 41 community colleges related to improving outcomes for students with challenges,[Community College Research Center](https://ccrc.tc.columbia.edu/publications/evidence-based-decision-making.html)
IPEDS Use the Data,Additional variables related to postsecondary institution attendance and costs,[IPEDS](https://nces.ed.gov/ipeds/use-the-data)
Leveraging Analytics in Community Colleges,Guide for technology strategies in community colleges,[EDUCAUSE Review](https://er.educause.edu/articles/2015/9/leveraging-analytics-in-community-colleges)
NCES Community Colleges Data,"Curated economic, demographic, and outcome-related indicators",[Institute of Education Sciences](https://nces.ed.gov/)
The Condition of Education 2024,Most recent report on NCES data,[Report (PDF)](https://nces.ed.gov/pubs2024/2024144.pdf)
